,Fare,Pclass
0,7.8292,3
1,7.0,3
2,9.6875,2
3,8.6625,3
4,12.2875,3
5,9.225,3
6,7.6292,3
7,29.0,2
8,7.2292,3
9,24.15,3
10,7.8958,3
11,26.0,1
12,82.2667,1
13,26.0,2
14,61.175,1
15,27.7208,2
16,12.35,2
17,7.225,3
18,7.925,3
19,7.225,3
20,59.4,1
21,3.1708,3
22,31.6833,1
23,61.3792,1
24,262.375,1
25,14.5,3
26,61.9792,1
27,7.225,3
28,30.5,1
29,21.6792,3
30,26.0,2
31,31.5,2
32,20.575,3
33,23.45,3
34,57.75,1
35,7.2292,3
36,8.05,3
37,8.6625,3
38,9.5,3
39,56.4958,3
40,13.4167,3
41,26.55,1
42,7.85,3
43,13.0,2
44,52.5542,1
45,7.925,3
46,29.7,1
47,7.75,3
48,76.2917,1
49,15.9,3
50,60.0,1
51,15.0333,2
52,23.0,2
53,263.0,1
54,15.5792,2
55,29.125,3
56,7.8958,3
57,7.65,3
58,16.1,3
59,262.375,1
60,7.8958,3
61,13.5,2
62,7.75,3
63,7.725,3
64,262.375,1
65,21.0,2
66,7.8792,3
67,42.4,1
68,28.5375,1
69,263.0,1
70,7.75,3
71,7.8958,3
72,7.925,3
73,27.7208,1
74,211.5,1
75,211.5,1
76,8.05,3
77,25.7,1
78,13.0,2
79,7.75,3
80,15.2458,3
81,221.7792,1
82,26.0,1
83,7.8958,3
84,10.7083,2
85,14.4542,3
86,7.8792,3
87,8.05,3
88,7.75,3
89,23.0,2
90,13.9,3
91,7.775,3
92,52.0,1
93,8.05,3
94,26.0,1
95,7.7958,3
96,78.85,1
97,7.925,3
98,7.8542,3
99,8.05,3
100,55.4417,1
101,26.0,2
102,7.75,3
103,7.775,3
104,8.5167,3
105,22.525,3
106,7.8208,3
107,7.75,3
108,8.7125,3
109,13.0,2
110,15.0458,2
111,7.7792,3
112,31.6792,1
113,7.2833,3
114,221.7792,1
115,14.4542,3
116,6.4375,3
117,16.7,3
118,75.2417,1
119,26.0,2
120,15.75,2
121,7.75,3
122,57.75,1
123,7.25,3
124,7.75,3
125,16.1,3
126,7.7958,3
127,23.25,3
128,13.0,2
129,8.05,3
130,8.05,3
131,28.5,1
132,25.4667,3
133,6.4375,3
134,7.8958,3
